gamePk,team_name,norm_x,period_1_side
2015020285,Florida Panthers,-66.0,right
2015020286,Buffalo Sabres,-72.0,right
2015020286,St. Louis Blues,69.5,left
2015020287,Carolina Hurricanes,-62.0,right
2015020287,Toronto Maple Leafs,58.5,left
2015020288,Columbus Blue Jackets,-68.0,right
2015020288,Nashville Predators,58.0,left
2015020289,Detroit Red Wings,-75.0,right
2015020289,Los Angeles Kings,63.5,left
2015020290,Montréal Canadiens,59.0,left
2015020290,New York Islanders,-56.0,right
2015020291,Calgary Flames,-63.25,right
2015020291,Chicago Blackhawks,55.0,left
2015020292,Edmonton Oilers,-60.0,right
2015020292,New Jersey Devils,67.0,left
2015020293,Boston Bruins,60.0,left
2015020293,Toronto Maple Leafs,-67.5,right
2015020294,Ottawa Senators,58.5,left
2015020294,Philadelphia Flyers,-53.0,right
2015020295,Anaheim Ducks,-56.0,right
2015020295,Tampa Bay Lightning,57.0,left
2015020296,Florida Panthers,-56.0,right
2015020296,New York Rangers,56.25,left
2015020297,Pittsburgh Penguins,57.5,left
2015020297,San Jose Sharks,-51.0,right
2015020298,Colorado Avalanche,61.5,left
2015020298,Washington Capitals,-61.0,right
2015020299,Arizona Coyotes,54.5,left
2015020299,Winnipeg Jets,-60.0,right
2015020300,Detroit Red Wings,-65.0,right
2015020300,St. Louis Blues,58.5,left
2015020301,Buffalo Sabres,58.0,left
2015020301,Dallas Stars,-64.0,right
2015020302,Minnesota Wild,-54.0,right
2015020302,Nashville Predators,69.0,left
2015020303,Chicago Blackhawks,66.0,left
2015020303,Vancouver Canucks,-67.0,right
2015020304,Carolina Hurricanes,-43.0,right
2015020304,Los Angeles Kings,62.0,left
2015020305,Columbus Blue Jackets,-62.0,right
2015020305,San Jose Sharks,55.0,left
2015020306,Montréal Canadiens,-55.0,right
2015020306,New York Islanders,64.5,left
2015020307,New Jersey Devils,64.0,left
2015020307,Vancouver Canucks,-59.0,right
2015020308,Buffalo Sabres,59.0,left
2015020308,St. Louis Blues,-66.0,right
2015020309,Nashville Predators,61.0,left
2015020309,New York Rangers,-53.0,right
2015020310,Carolina Hurricanes,66.0,left
2015020310,Philadelphia Flyers,-63.5,right
2015020311,Edmonton Oilers,68.5,left
2015020311,Washington Capitals,-62.0,right
2015020312,Boston Bruins,72.0,left
2015020312,Toronto Maple Leafs,-61.0,right
2015020313,Florida Panthers,-68.0,right
2015020313,Los Angeles Kings,69.5,left
2015020314,Colorado Avalanche,59.0,left
2015020314,Winnipeg Jets,-68.0,right
2015020315,Dallas Stars,-62.0,right
2015020315,Ottawa Senators,66.5,left
2015020316,Anaheim Ducks,76.0,left
2015020316,Calgary Flames,-75.0,right
2015020317,Buffalo Sabres,52.0,left
2015020317,Nashville Predators,-72.0,right
2015020318,Columbus Blue Jackets,-62.0,right
2015020318,New Jersey Devils,60.5,left
2015020319,New York Islanders,-76.0,right
2015020319,Philadelphia Flyers,63.0,left
2015020320,Montréal Canadiens,73.0,left
2015020320,New York Rangers,-79.0,right
2015020321,Pittsburgh Penguins,68.0,left
2015020321,St. Louis Blues,-64.0,right
2015020322,Washington Capitals,-54.0,right
2015020322,Winnipeg Jets,64.0,left
2015020323,Carolina Hurricanes,-75.0,right
2015020323,Edmonton Oilers,64.5,left
2015020324,Minnesota Wild,-61.0,right
2015020324,Vancouver Canucks,55.0,left
2015020325,Boston Bruins,64.0,left
2015020325,Detroit Red Wings,-75.0,right
2015020326,Los Angeles Kings,-53.5,right
2015020326,Tampa Bay Lightning,55.0,left
2015020327,Anaheim Ducks,-57.5,right
2015020327,Arizona Coyotes,59.5,left
2015020328,Colorado Avalanche,-65.0,right
2015020328,Ottawa Senators,54.5,left
2015020329,Chicago Blackhawks,-65.0,right
2015020329,San Jose Sharks,61.0,left
2015020330,Boston Bruins,61.5,left
